KC-OL-hvn_7,
W,R
0.4,0.22807
0.405,0.23017
0.41,0.23224
0.415,0.23526
0.42,0.23811
0.425,0.24078
0.43,0.24382
0.435,0.24638
0.44,0.25
0.445,0.25326
0.45,0.25629
0.455,0.26002
0.46,0.26375
0.465,0.26747
0.47,0.27103
0.475,0.27492
0.48,0.279
0.485,0.28276
0.49,0.2864
0.495,0.29031
0.5,0.29475
0.505,0.29945
0.51,0.30398
0.515,0.30775
0.52,0.31185
0.525,0.31588
0.53,0.31995
0.535,0.32461
0.54,0.32879
0.545,0.33271
0.55,0.33689
0.555,0.34039
0.56,0.34449
0.565,0.34821
0.57,0.35154
0.575,0.35486
0.58,0.35798
0.585,0.3611
0.59,0.36433
0.595,0.3674
0.6,0.37134
0.605,0.37412
0.61,0.37667
0.615,0.37939
0.62,0.38188
0.625,0.38435
0.63,0.38726
0.635,0.39
0.64,0.39321
0.645,0.3966
0.65,0.40002
0.655,0.40371
0.66,0.40703
0.665,0.41029
0.67,0.41356
0.675,0.41641
0.68,0.41926
0.685,0.42162
0.69,0.42407
0.695,0.42616
0.7,0.4282
0.705,0.43005
0.71,0.43149
0.715,0.43292
0.72,0.43434
0.725,0.43572
0.73,0.43673
0.735,0.43773
0.74,0.43821
0.745,0.43869
0.75,0.4389
0.755,0.43889
0.76,0.43905
0.765,0.4391
0.77,0.43894
0.775,0.43875
0.78,0.4385
0.785,0.43819
0.79,0.43817
0.795,0.43804
0.8,0.43791
0.805,0.43784
0.81,0.43775
0.815,0.43787
0.82,0.43817
0.825,0.43843
0.83,0.43844
0.835,0.43916
0.84,0.43958
0.845,0.4402
0.85,0.44069
0.855,0.44089
0.86,0.44164
0.865,0.44265
0.87,0.44375
0.875,0.44417
0.88,0.44475
0.885,0.44501
0.89,0.44512
0.895,0.44492
0.9,0.44492
0.905,0.44479
0.91,0.44545
0.915,0.44615
0.92,0.44469
0.925,0.443
0.93,0.4407
0.935,0.43856
0.94,0.43603
0.945,0.43378
0.95,0.43152
0.955,0.42884
0.96,0.42643
0.965,0.42372
0.97,0.4212
0.975,0.41884
0.98,0.41641
0.985,0.4139
0.99,0.41148
0.995,0.40937
1,0.40721
1.005,0.40515
1.01,0.40331
1.015,0.40165
1.02,0.40001
1.025,0.39874
1.03,0.39783
1.035,0.39713
1.04,0.39682
1.045,0.39675
1.05,0.39676
1.055,0.39736
1.06,0.39827
1.065,0.39966
1.07,0.40107
1.075,0.40281
1.08,0.40493
1.085,0.40739
1.09,0.40954
1.095,0.41228
1.1,0.41521
1.05,0.39784
1.055,0.39882
1.06,0.39946
1.065,0.40061
1.07,0.40185
1.075,0.40371
1.08,0.40579
1.085,0.40819
1.09,0.41115
1.095,0.41396
1.1,0.41699
1.105,0.41985
1.11,0.42252
1.115,0.42563
1.12,0.4282
1.125,0.43128
1.13,0.43448
1.135,0.43715
1.14,0.44006
1.145,0.4426
1.15,0.44529
1.155,0.44775
1.16,0.45038
1.165,0.45191
1.17,0.45451
1.175,0.45658
1.18,0.45849
1.185,0.46037
1.19,0.46193
1.195,0.46378
1.2,0.46534
1.205,0.46713
1.21,0.46892
1.215,0.47022
1.22,0.47228
1.225,0.47409
1.23,0.47554
1.235,0.47714
1.24,0.47866
1.245,0.48065
1.25,0.48259
1.255,0.48463
1.26,0.48681
1.265,0.48894
1.27,0.49114
1.275,0.49302
1.28,0.49562
1.285,0.49783
1.29,0.50011
1.295,0.50304
1.3,0.50557
1.305,0.50819
1.31,0.51074
1.315,0.51389
1.32,0.51661
1.325,0.51965
1.33,0.52283
1.335,0.52614
1.34,0.52899
1.345,0.53259
1.35,0.53601
1.355,0.54016
1.36,0.54347
1.365,0.54787
1.37,0.55116
1.375,0.55502
1.38,0.55853
1.385,0.56285
1.39,0.56626
1.395,0.57027
1.4,0.57432
1.405,0.57785
1.41,0.58241
1.415,0.58646
1.42,0.59009
1.425,0.59404
1.43,0.59813
1.435,0.60202
1.44,0.60605
1.445,0.61061
1.45,0.6147
1.455,0.61887
1.46,0.62286
1.465,0.62686
1.47,0.63107
1.475,0.63532
1.48,0.63929
1.485,0.64364
1.49,0.64765
1.495,0.65154
1.5,0.65562
1.505,0.6595
1.51,0.66337
1.515,0.6672
1.52,0.67115
1.525,0.67474
1.53,0.67832
1.535,0.68226
1.54,0.68574
1.545,0.68912
1.55,0.69257
1.555,0.69607
1.56,0.69907
1.565,0.70227
1.57,0.70577
1.575,0.70824
1.58,0.7135
1.585,0.71346
1.59,0.71623
1.595,0.7187
1.6,0.71951
1.605,0.72167
1.61,0.72411
1.615,0.72612
1.62,0.72867
1.625,0.7308
1.63,0.73294
1.635,0.73497
1.64,0.73666
1.645,0.73823
1.65,0.74017
1.655,0.74182
1.66,0.74312
1.665,0.74443
1.67,0.74585
1.675,0.74737
1.68,0.74894
1.685,0.74998
1.69,0.75228
1.695,0.75405
1.7,0.75518
1.705,0.75656
1.71,0.75719
1.715,0.75803
1.72,0.7589
1.725,0.75943
1.73,0.76042
1.735,0.76123
1.74,0.76212
1.745,0.76302
1.75,0.76393
1.755,0.7648
1.76,0.76495
1.765,0.76521
1.77,0.76556
1.775,0.76617
1.78,0.76677
1.785,0.76755
1.79,0.76808
1.795,0.76862
1.8,0.76932
1.805,0.7699
1.81,0.76974
1.815,0.77068
1.82,0.77102
1.825,0.77172
1.83,0.7727
1.835,0.7726
1.84,0.77328
1.845,0.77385
1.85,0.77391
1.855,0.77403
1.86,0.77424
1.865,0.77441
1.87,0.77426
1.875,0.7742
1.88,0.77377
1.885,0.77307
1.89,0.77244
1.895,0.77194
1.9,0.77128
1.905,0.77042
1.91,0.77018
1.915,0.76982
1.92,0.76951
1.925,0.76975
1.93,0.76982
1.935,0.77013
1.94,0.77018
1.945,0.77035
1.95,0.77091
1.955,0.77128
1.96,0.77208
1.965,0.77271
1.97,0.77361
1.975,0.77402
1.98,0.77467
1.985,0.77522
1.99,0.77634
1.995,0.77668
2,0.77733
2.005,0.77789
2.01,0.77972
2.015,0.77941
2.02,0.78069
2.025,0.78102
2.03,0.7813
2.035,0.78202
2.04,0.78277
2.045,0.78337
2.05,0.78342
2.055,0.78406
2.06,0.78475
2.065,0.78491
2.07,0.78502
2.075,0.78534
2.08,0.78554
2.085,0.78605
2.09,0.78664
2.095,0.78708
2.1,0.78772
2.105,0.78856
2.11,0.7889
2.115,0.78927
2.12,0.78951
2.125,0.78973
2.13,0.7899
2.135,0.79073
2.14,0.79123
2.145,0.79171
2.15,0.79172
2.155,0.79154
2.16,0.79148
2.165,0.79123
2.17,0.79247
2.175,0.79063
2.18,0.79019
2.185,0.78935
2.19,0.78926
2.195,0.78877
2.2,0.78833
2.205,0.78771
2.21,0.78719
2.215,0.78701
2.22,0.78695
2.225,0.78699
2.23,0.78676
2.235,0.78636
2.24,0.78587
2.245,0.78595
2.25,0.78592
2.255,0.7852
2.26,0.78466
2.265,0.78489
2.27,0.78561
2.275,0.78546
2.28,0.78579
2.285,0.78654
2.29,0.7856
2.295,0.78509
2.3,0.7836
2.305,0.78224
2.31,0.78093
2.315,0.7799
2.32,0.77885
2.325,0.7784
2.33,0.77863
2.335,0.77861
2.34,0.77848
2.345,0.77929
2.35,0.77986
2.355,0.78061
2.36,0.78192
2.365,0.78295
2.37,0.78305
2.375,0.78342
2.38,0.78258
2.385,0.78268
2.39,0.78177
2.395,0.78159
2.4,0.7811
2.405,0.78097
2.41,0.78113
2.415,0.78167
2.42,0.77999
2.425,0.78002
2.43,0.77885
2.435,0.77845
2.44,0.77818
2.445,0.77839
2.45,0.77853
2.455,0.77916
2.46,0.77819
2.465,0.77794
2.47,0.77804
2.475,0.77762
2.48,0.77739
2.485,0.77711
2.49,0.7772
2.495,0.77782
2.5,0.78016
