OC-LVM-F1,
W,R
0.298484286,0.071974636
0.306630801,0.073560667
0.31278566,0.07567903
0.316923165,0.07779896
0.317000261,0.079391257
0.317103057,0.081514319
0.319171809,0.082574284
0.32126626,0.084165015
0.325403765,0.086284944
0.327498216,0.087875675
0.329669763,0.091058702
0.331815612,0.093710964
0.333961461,0.096363225
0.334141352,0.100078584
0.336261502,0.10220008
0.336364297,0.104323143
0.336467092,0.106446205
0.336544189,0.108038502
0.33863864,0.109629233
0.34075879,0.111750729
0.340861585,0.113873791
0.343033132,0.117056818
0.347196336,0.119707514
0.34732483,0.122361342
0.347427625,0.124484404
0.349547775,0.1266059
0.34965057,0.128728962
0.351745021,0.130319693
0.351847816,0.132442755
0.351924913,0.134035052
0.354045062,0.136156548
0.358233965,0.139338009
0.362371469,0.141457939
0.362474265,0.143581001
0.364568716,0.145171732
0.364671511,0.147294794
0.364748607,0.148887091
0.366868757,0.151008587
0.366971552,0.153131649
0.367074347,0.155254712
0.367177142,0.157377774
0.367254239,0.158970071
0.371366045,0.160559235
0.379538259,0.162676032
0.381658409,0.164797528
0.38375286,0.166388258
0.385847311,0.167978989
0.387916063,0.169038953
0.390010514,0.170629684
0.392130664,0.17275118
0.394225115,0.17434191
0.396370964,0.176994172
0.400559866,0.180175633
0.404671672,0.181764797
0.408783478,0.183353961
0.418998746,0.185999957
0.429239712,0.189176719
0.433351518,0.190765883
0.441549431,0.193413445
0.447755688,0.196593339
0.453884849,0.198180937
0.460065407,0.200830066
0.466220267,0.202948429
0.474341083,0.204003695
0.478478588,0.206123624
0.484607748,0.207711222
0.492754264,0.209297253
0.50299523,0.212474015
0.509175789,0.215123144
0.513338992,0.217773839
0.51951955,0.220422968
0.527717463,0.22307053
0.531854968,0.22519046
0.540027182,0.227307257
0.550165353,0.228360956
0.55828617,0.229416221
0.566458384,0.231533018
0.572561846,0.23258985
0.580682663,0.233645116
0.592838189,0.234697249
0.60297636,0.235750948
0.615131886,0.236803081
0.625270058,0.23785678
0.633416573,0.239442811
0.643631841,0.242088807
0.651752657,0.243144073
0.657881818,0.24473167
0.666002634,0.245786936
0.674072054,0.24578067
0.684184526,0.246303604
0.692279644,0.246828104
0.700374762,0.247352604
0.706478224,0.248409436
0.720625406,0.248929237
0.714573341,0.248933936
0.72667747,0.248924538
0.734746889,0.248918272
0.740798953,0.248913573
0.746773921,0.247316577
0.754791943,0.24624878
0.758749556,0.24465335
0.762707169,0.243057921
0.766690481,0.241993257
0.770648094,0.240397827
0.776597363,0.238270065
0.782520933,0.235611538
0.788495901,0.234014542
0.790384762,0.231359148
0.798351386,0.22922982
0.798197193,0.226045226
0.802129108,0.223919031
0.806086721,0.222323601
0.810044334,0.220728171
0.811958894,0.218603543
0.817882464,0.215945015
0.823806034,0.213286488
0.827686551,0.210098762
0.82962681,0.208504898
0.833558724,0.206378703
0.83343023,0.203724875
0.837362144,0.20159868
0.84126836,0.198941719
0.845174576,0.196284758
0.84910649,0.194158563
0.852935609,0.189909305
0.856867523,0.18778311
0.860799438,0.185656915
0.866748707,0.183529153
0.868688965,0.18193529
0.87262088,0.179809095
0.880587504,0.177679767
0.886536773,0.175552005
0.894503397,0.173422677
0.900452666,0.171294915
0.908444988,0.169696353
0.914394258,0.167568591
0.924455333,0.167029994
0.932499053,0.166492962
0.940542773,0.165955931
0.948612192,0.165949666
0.95670731,0.166474166
0.966896879,0.168589396
0.975043394,0.170175427
0.983164211,0.171230693
0.987276017,0.172819857
0.993430876,0.17493822
1.00160309,0.177055017
1.009749606,0.178641048
1.013861412,0.180230212
1.017947519,0.181288611
1.026094034,0.182874642
1.034240549,0.184460673
1.042412764,0.18657747
1.048567623,0.188695833
1.05265373,0.189754231
1.058782891,0.191341829
1.066980804,0.193989392
1.071118308,0.196109321
1.079264824,0.197695352
1.085393984,0.19928295
1.091574543,0.201932079
1.099721058,0.20351811
1.10794467,0.206696438
1.116091185,0.208282469
1.122246045,0.210400833
1.128375205,0.21198843
1.132487011,0.213577594
1.142702279,0.21622359
1.148857138,0.218341953
1.156977955,0.219397219
1.167116126,0.220450918
1.173270986,0.222569281
1.181417501,0.224155313
1.189512619,0.224679813
1.197684833,0.22679661
1.20580565,0.227851875
1.213926466,0.228907141
1.222021584,0.229431641
1.236220164,0.231012973
1.242297927,0.231539039
1.250418743,0.232594305
1.25853956,0.23364957
1.266634678,0.23417407
1.274755494,0.235229336
1.282850612,0.235753836
1.29498044,0.236275203
1.301083901,0.237332035
1.307187363,0.238388867
1.311324868,0.240508797
1.315436674,0.242097961
1.323583189,0.243683992
1.331678307,0.244208492
1.339824822,0.245794523
1.345928284,0.246851355
1.350014391,0.247909754
1.360152563,0.248963453
1.368324777,0.25108025
1.380531701,0.253193914
1.388652517,0.254249179
1.396773334,0.255304445
1.404919849,0.256890476
1.413117762,0.259538039
1.421289976,0.261654835
1.4334969,0.263768499
1.449635738,0.263755968
1.461791264,0.264808101
1.47394679,0.265860234
1.486102316,0.266912367
1.494223133,0.267967632
1.502318251,0.268492132
1.514448078,0.269013499
1.522543196,0.269537999
1.534673023,0.270059367
1.544759797,0.270051535
1.552803517,0.269514503
1.562838894,0.26844514
1.574917323,0.267904976
1.582986742,0.267898711
1.591030463,0.267361679
1.597056828,0.266826215
1.603057495,0.265759984
1.611075516,0.264692187
1.623102548,0.263090492
1.63112057,0.262022695
1.635103882,0.260958031
1.643121903,0.259890234
1.653182978,0.259351637
1.661201,0.25828384
1.671184978,0.256152945
1.679203,0.255085149
1.68724672,0.254548117
1.699248054,0.252415657
1.707240376,0.250817094
1.715258398,0.249749297
1.725293774,0.248679934
1.735354849,0.248141336
1.74740758,0.247070407
1.755425601,0.24600261
1.765460977,0.244933247
1.773504698,0.244396216
1.785506031,0.242263755
1.793498354,0.240665192
1.805551085,0.239594263
1.81561216,0.239055665
1.825647536,0.237986302
1.837725966,0.237446138
1.847787041,0.23690754
1.85182175,0.236904407
1.861934223,0.237427341
1.869977943,0.23689031
1.87597861,0.235824079
1.886065384,0.235816247
1.894134803,0.235809982
1.904221576,0.23580215
1.912239598,0.234734353
1.922326372,0.234726521
1.930421489,0.235251021
1.938490909,0.235244755
1.944542973,0.235240056
1.950595037,0.235235357
1.958664456,0.235229091
1.966733875,0.235222826
1.974828993,0.235747326
1.980932455,0.236804158
1.986984519,0.236799458
1.995105336,0.237854724
2.003174755,0.237848458
2.011295571,0.238903724
2.01936499,0.238897458
2.027511506,0.24048349
2.037623978,0.241006423
2.041710085,0.242064822
2.047839246,0.243652419
2.053917009,0.244178486
2.06808989,0.245229052
2.076210707,0.246284318
2.084305824,0.246808818
2.092400942,0.247333318
2.102539114,0.248387017
2.059994772,0.244704552
2.107621049,0.249179249
2.117793485,0.250940636
2.12619913,0.250934109
2.134647606,0.251812192
2.141414953,0.25269158
2.149820598,0.252685053
2.158247658,0.253120831
2.163355292,0.254443829
2.168484342,0.256209132
2.175251689,0.25708852
2.18540271,0.258407602
2.192191473,0.259729295
2.198937404,0.260166378
2.205683336,0.260603461
2.212472098,0.261925154
2.215855772,0.262364848
2.222665951,0.264128845
2.229411882,0.264565929
2.239562903,0.265885011
2.246308834,0.266322094
2.256438439,0.267198871
2.261503242,0.26763726
2.26658946,0.268517953
2.273378223,0.269839646
2.283486412,0.270274119
2.293616018,0.271150896
2.300383365,0.272030284
2.307107881,0.272025063
2.313832396,0.272019841
2.322238041,0.272013315
2.330643686,0.272006788
2.34073046,0.271998956
2.350817234,0.271991124
2.360904007,0.271983292
2.369309652,0.271976765
2.379460673,0.273295847
2.384525476,0.273734236
2.389590278,0.274172625
2.396314794,0.274167403
2.40303931,0.274162182
2.411444955,0.274155655
2.418212302,0.275035043
2.424958233,0.275472127
2.431682749,0.275466905
2.44010981,0.275902683
2.446855741,0.276339767
2.453623088,0.277219155
2.458730722,0.278542153
2.468838912,0.278976625
2.478947101,0.279411098
2.485714448,0.280290486
2.497525182,0.281165958
2.502589985,0.281604347
2.509357332,0.282483735
2.516103264,0.282920818
2.522849195,0.283357901
2.532935969,0.283350069
2.543044158,0.283784542
2.553152348,0.284219015
2.559919695,0.285098403
2.566644211,0.285093181
2.575049856,0.285086655
2.580093243,0.285082739
2.586817758,0.285077517
2.593542274,0.285072296
